CNPJ_FUNDO;retorno(%);Fundo de Investimento;Classe;PL
08.336.054/0001-34;166.32679126818;SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;Fundo de Ações;192420732.71
11.060.594/0001-42;164.96268858929972;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PRÉ-SAL;Fundo de Ações;134427132.17
11.504.894/0001-73;158.96821639959379;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES - PETROBRAS 2010;Fundo de Ações;16601438.96
03.917.778/0001-58;140.90838817844968;ITAÚ AÇÕES PETROBRÁS - FUNDO DE INVESTIMENTO;Fundo de Ações;383436420.34
03.917.096/0001-45;139.63903302638943;SANTANDER FI PETROBRÁS AÇÕES;Fundo de Ações;108888380.01
03.920.413/0001-82;139.5116506014479;BB AÇÕES PETROBRAS FUNDO DE INVESTIMENTO;Fundo de Ações;749228991.86
30.518.554/0001-46;139.16879083924684;BB AÇÕES PETROBRAS I FUNDO DE INVESTIMENTO;Fundo de Ações;731394245.2
03.916.081/0001-62;136.62380239488218;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;Fundo de Ações;290561843.56
03.922.006/0001-04;135.8876253671604;BRADESCO H FUNDO DE INVESTIMENTO AÇÕES PETROBRAS;Fundo de Ações;52484624.81
03.914.671/0001-56;135.54376592938405;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS;Fundo de Ações;904205777.96
30.068.205/0001-70;135.37043803881747;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PLUS;Fundo de Ações;80851068.25
08.828.888/0001-67;132.85305449337045;SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PETROBRÁS 2 AÇÕES;Fundo de Ações;124493627.66
30.068.271/0001-40;130.20096362152827;CAIXA FUNDO DE INVESTIMENTO EM AÇÕES BANCO DO BRASIL PLUS;Fundo de Ações;90936432.29
09.134.614/0001-30;129.55242961405764;BB AÇÕES BB FUNDO DE INVESTIMENTO;Fundo de Ações;685560098.3
10.590.125/0001-72;128.64540709464256;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES CIELO;Fundo de Ações;15814691.27
29.197.177/0001-01;127.76811013278397;ITAÚ AÇÕES PETROBRAS I - FUNDO DE INVESTIMENTO;Fundo de Ações;91667830.18
10.869.628/0001-81;125.37588269872337;BB AÇÕES CIELO FUNDO DE INVESTIMENTO;Fundo de Ações;42841731.98
17.593.934/0001-87;89.20652890670134;BB AÇÕES BB SEGURIDADE FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;110199048.83
30.068.049/0001-47;88.72704277165124;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA SEGURIDADE;Fundo de Ações;487590702.14
14.632.925/0001-60;85.46704836932975;MB FUNDO DE INVESTIMENTO EM AÇÕES INSTITUIÇÕES FINANCEIRAS;Fundo de Ações;36854484.6
17.400.251/0001-66;84.20292401064727;ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;414467405.69
22.232.927/0001-90;81.43781517058022;TARPON GT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;428607797.05
26.648.868/0001-96;79.45620631593488;ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES II - BDR NÍVEL I;Fundo de Ações;268681781.6
12.987.743/0001-86;78.47462591020083;ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;Fundo de Ações;1217458904.34
14.438.229/0001-17;70.96991754765651;CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES;Fundo de Ações;617537639.62
06.028.596/0001-14;69.75675544583918;ITAÚ UNIBANCO AÇÕES HOLDING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;Fundo de Ações;33415432.42
36.347.678/0001-92;67.76951686365781;ITAÚ INDEX ITAÚ UNIBANCO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;Fundo de Ações;65214858.92
