CNPJ_FUNDO;retorno(%);Fundo de Investimento;Classe;PL
49.920.157/0001-24;18.25604306559987;ITAÚ INDEX BITCOIN USD FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;23753113.96
40.978.416/0001-01;11.346405518000324;ITAÚ INDEX BLOCKCHAIN AÇÕES FX INVESTIMENTO NO EXTERIOR FICFI;Fundo de Ações;7234687.74
34.218.752/0001-45;8.303141086164612;EMPIRICUS EXPONENCIAL FUNDO DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR;Fundo de Ações;21489853.45
30.068.049/0001-47;7.973738500662386;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA SEGURIDADE;Fundo de Ações;487590702.14
34.109.677/0001-84;7.911004253546183;ÁGORA SMALL CAPS INDEX FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;12530955.22
35.625.840/0001-24;7.802144708092551;TREND XP INC FI EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;67496627.37
35.650.540/0001-03;7.796678715614314;TREND XP INC DOMINUS FI EM COTAS DE FI EM AÇÕES BDR NÍVEL I;Fundo de Ações;15991811.29
42.294.675/0001-30;7.662743446046427;CARTEIRA INTER GLOBAL FUNDO DE INVESTIMENTO EM ACOES BDR NIVEL 1;Fundo de Ações;4890720.1
39.573.883/0001-64;6.271110921516576;KAPITALO TARKUS ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;85209630.88
22.232.927/0001-90;6.188863111925147;TARPON GT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;428607797.05
42.922.205/0001-74;6.134922083585415;TARPON GT 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;384759022.92
32.905.802/0001-37;5.866785209449521;KAPITALO TARKUS SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;32135201.03
09.296.022/0001-15;5.630667519810695;MAPFRE FUNDO DE INVESTIMENTO EM AÇÕES SMALL;Fundo de Ações;26859628.99
11.447.072/0001-06;5.257395155313649;BIGUÁ VENTURE VALUE FUNDO DE INVESTIMENTO DE AÇÕES;Fundo de Ações;39731692.66
10.320.151/0001-80;5.245709827288048;LEBLON AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;147827547.23
26.768.800/0001-40;5.1308076488247645;LEBLON AÇÕES II INSTITUCIONAL FI EM COTAS DE FI DE AÇÕES;Fundo de Ações;315444719.08
39.255.868/0001-78;4.998634736472063;BB ESPELHO AÇÕES LEBLON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;Fundo de Ações;7700468.88
13.962.947/0001-25;4.706599117785593;VOKIN GBV ACONCÁGUA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;715594058.71
39.490.897/0001-14;4.604225697705844;ITAÚ INDEX ESG ÁGUA AÇÕES FX INVESTIMENTO NO EXTERIOR FICFI SUSTENTÁVEL;Fundo de Ações;12466868.71
20.485.402/0001-30;4.506549014021655;Neuberger Berman US MultiCap Opportunities Dolar Advisory FIC FIA IE;Fundo de Ações;90867116.71
36.249.300/0001-56;4.491672196151142;ITAÚ INDEX AÇÕES EUROPA EUR INVESTIMENTO NO EXTERIOR FICFI;Fundo de Ações;22348413.75
07.317.588/0001-50;4.377117978078338;HIX CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;264384677.4
32.890.800/0001-11;4.344243952533677;HIX CAPITAL ADVISORY FUNDO DE INVESTIMENTO DE EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;Fundo de Ações;72301468.87
22.662.135/0001-55;4.31252111024909;HIX CAPITAL INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO DE AÇÕES;Fundo de Ações;237653706.45
19.727.078/0001-30;4.3013279087052325;STOXOS FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;76903329.15
37.322.097/0001-69;4.25359172958828;PLURAL FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;30600227.5
17.400.251/0001-66;4.208255988310716;ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;414467405.69
41.956.196/0001-70;4.128520390289991;JOULE VALUE CLASSIC FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;69342411.31
36.327.455/0001-63;4.113208659198353;TREND BOLSA AMERICANA ALAVANCADO FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;45033014.22
